work_id,book_id,line_number,sequence_number,author_name,work_title,book_label,line_text,note,created_at,last_accessed
"phi1351.phi004","phi1351.phi004.001",1,1,"Tacitus, Cornelius","The History","1","Initium mihi operis Servius Galba iterum Titus Vinius 
consules erunt","1",1759888536895,1759888536895
"phi0914.phi001","phi0914.phi001.001",1,1,"Titus Livius (Livy)","The History of Rome","1","facturusne operae pretium sim, si a primordio urbis res populi
                                    Romani perscripserim, nec satis scio nec,","1",1759888500577,1759888500577
"phi0690.phi003","phi0690.phi003.001",1,1,"P. Vergilius Maro (Virgil)","Aeneid","1","Arma virumque cano, Troiae qui primus ab oris","1",1759888480027,1759888480027
"phi0448.phi001","phi0448.phi001.001",1,1,"Julius Caesar","Gallic War","1","Gallia est omnis divisa in partes tres, quarum unam incolunt Belgae, aliam Aquitani, tertiam qui ipsorum lingua Celtae, nostra Galli appellantur.","1",1759888463157,1759888463157
"tlg0543.tlg001","tlg0543.tlg001.001",1,1,"Polybius","The Histories","1","εἰ μὲν τοῖς πρὸ ἡμῶν ἀναγράφουσι τὰς πράξεις παραλελεῖφθαι συνέβαινε τὸν ὑπὲρ αὐτῆς τῆς
ἱστορίας ἔπαινον, ἴσως ἀναγκαῖον ἦν τὸ προτρέπεσθαι πάντας πρὸς τὴν αἵρεσιν καὶ παραδοχὴν
τῶν τοιούτων ὑπομνημάτων διὰ τὸ μηδεμίαν ἑτοιμοτέραν εἶναι τοῖς ἀνθρώποις διόρθωσιν τῆς τῶν
προγεγενημένων πράξεων ἐπιστήμης.","1",1759888429548,1759888429548
"tlg0033.tlg001","tlg0033.tlg001.001",1,1,"Pindar","Olympian Odes","1","ἄριστον μὲν ὕδωρ, ὁ δὲ χρυσὸς αἰθόμενον πῦρ","1",1759888415115,1759888415115
"tlg0062.tlg032","tlg0062.tlg032.001",1,1,"Lucian of Samosata","The Judgement of the Goddesses","1","Ζεύς
 Ἑρμῆ, λαβὼν τουτὶ τὸ μῆλον ἄπιθι εἰς τὴν Φρυγίαν παρὰ τὸν Πριάμου παῖδα τὸν βουκόλον — νέμει δὲ τῆς Ἴδης ἐν τῷ Γαργάρῳ — καὶ λέγε πρὸς αὐτόν, ὅτι  σέ, ὦ Πάρι, κελεύει ὁ Ζεύς, ἐπειδὴ καλός τε αὐτὸς εἶ καὶ σοφὸς τὰ ἐρωτικά, δικάσαι ταῖς θεαῖς, ἥτις αὐτῶν ἡ καλλίστη ἐστίν","1",1759888394892,1759888394892
"tlg0557.tlg002","tlg0557.tlg002.001",1,1,"Epictetus","The Enchiridion","1","τῶν ὄντων τὰ μέν ἐστιν ἐφʼ ἡμῖν, τὰ δὲ οὐκ ἐφʼ ἡμῖν","1",1759888364498,1759888364498
"tlg0008.tlg001","tlg0008.tlg001.001",1,1,"Athenaeus of Naucratis","The Deipnosophists","1","Ἀθήναιος μὲν ὁ τῆς βίβλου πατήρ","1",1759888343304,1759888343304
"tlg0019.tlg003","tlg0019.tlg003.001",1,1,"Aristophanes","Clouds","1","ἰοὺ ἰού·","1",1759888328150,1759888328150
