languageid,letter,phonetic_value
greek,Α,a
greek,α,a
greek,Β,b
greek,β,b
greek,Γ,g
greek,γ,g
greek,Δ,d
greek,δ,d
greek,Ε,e
greek,ε,e
greek,Ζ,z
greek,ζ,z
greek,Η,ē
greek,η,ē
greek,Θ,th
greek,θ,th
greek,Ι,i
greek,ι,i
greek,Κ,k
greek,κ,k
greek,Λ,l
greek,λ,l
greek,Μ,m
greek,μ,m
greek,Ν,n
greek,ν,n
greek,Ξ,x
greek,ξ,x
greek,Ο,o
greek,ο,o
greek,Π,p
greek,π,p
greek,Ρ,r
greek,ρ,r
greek,Σ,s
greek,σ,s
greek,-ς,s
greek,Τ,t
greek,τ,t
greek,Υ,y/u
greek,υ,y/u
greek,Φ,ph
greek,φ,ph
greek,Χ,ch
greek,χ,ch
greek,Ψ,ps
greek,ψ,ps
greek,Ω,ō
greek,ω,ō
hebrew,א,ʾ (aleph)
hebrew,ב,b/v
hebrew,ג,g
hebrew,ד,d
hebrew,ה,h
hebrew,ו,v/w
hebrew,ז,z
hebrew,ח,ḥ
hebrew,ט,ṭ
hebrew,י,y
hebrew,כ,k/kh
hebrew,ך-,k/kh
hebrew,ל,l
hebrew,מ,m
hebrew,ם-,m
hebrew,נ,n
hebrew,ן-,n
hebrew,ס,s
hebrew,ע,ʿ (ayin)
hebrew,פ,p/f
hebrew,ף-,p/f
hebrew,צ,ts
hebrew,ץ-,ts
hebrew,ק,q
hebrew,ר,r
hebrew,ש,sh/s
hebrew,ת,t
arabic,ﺍ,ā (alif)
arabic,ﺎ-,ā (alif)
arabic,ﺏ,b
arabic,-ﺑ,b
arabic,-ﺒ-,b
arabic,ﺐ-,b
arabic,ﺕ,t
arabic,-ﺗ,t
arabic,-ﺘ-,t
arabic,ﺖ-,t
arabic,ﺙ,th
arabic,-ﺛ,th
arabic,-ﺜ-,th
arabic,ﺚ-,th
arabic,ﺝ,j
arabic,-ﺟ,j
arabic,-ﺠ-,j
arabic,ﺞ-,j
arabic,ﺡ,ḥ
arabic,-ﺣ,ḥ
arabic,-ﺤ-,ḥ
arabic,ﺢ-,ḥ
arabic,ﺥ,kh
arabic,-ﺧ,kh
arabic,-ﺨ-,kh
arabic,ﺦ-,kh
arabic,ﺩ,d
arabic,ﺪ-,d
arabic,ﺫ,dh
arabic,ﺬ-,dh
arabic,ﺭ,r
arabic,ﺮ-,r
arabic,ﺯ,z
arabic,ﺰ-,z
arabic,ﺱ,s
arabic,-ﺳ,s
arabic,-ﺴ-,s
arabic,ﺲ-,s
arabic,ﺵ,sh
arabic,-ﺷ,sh
arabic,-ﺸ-,sh
arabic,ﺶ-,sh
arabic,ﺹ,ṣ
arabic,-ﺻ,ṣ
arabic,-ﺼ-,ṣ
arabic,ﺺ-,ṣ
arabic,ﺽ,ḍ
arabic,-ﺿ,ḍ
arabic,-ﻀ-,ḍ
arabic,ﺾ-,ḍ
arabic,ﻁ,ṭ
arabic,-ﻃ,ṭ
arabic,-ﻄ-,ṭ
arabic,ﻂ-,ṭ
arabic,ﻅ,ẓ
arabic,-ﻇ,ẓ
arabic,-ﻈ-,ẓ
arabic,ﻆ-,ẓ
arabic,ﻉ,ʿ
arabic,-ﻋ,ʿ
arabic,-ﻌ-,ʿ
arabic,ﻊ-,ʿ
arabic,ﻍ,gh
arabic,-ﻏ,gh
arabic,-ﻐ-,gh
arabic,ﻎ-,gh
arabic,ﻑ,f
arabic,-ﻓ,f
arabic,-ﻔ-,f
arabic,ﻒ-,f
arabic,ﻕ,q
arabic,-ﻗ,q
arabic,-ﻘ-,q
arabic,ﻖ-,q
arabic,ﻙ,k
arabic,-ﻛ,k
arabic,-ﻜ-,k
arabic,ﻚ-,k
arabic,ﻝ,l
arabic,-ﻟ,l
arabic,-ﻠ-,l
arabic,ﻞ-,l
arabic,ﻡ,m
arabic,-ﻣ,m
arabic,-ﻤ-,m
arabic,ﻢ-,m
arabic,ﻥ,n
arabic,-ﻧ,n
arabic,-ﻨ-,n
arabic,ﻦ-,n
arabic,ﻩ,h
arabic,-ﻫ,h
arabic,-ﻬ-,h
arabic,ﻪ-,h
arabic,ﻭ,w
arabic,ﻮ-,w
arabic,ﻱ,y
arabic,-ﻳ,y
arabic,-ﻴ-,y
arabic,ﻲ-,y
arabic,ﺀ,ʾ (hamza)
arabic,ﺓ,a/at (taa marbuta)
arabic,ﺔ-,a/at (taa marbuta)
arabic,ﻯ,ā (alif maqsura)
