Author,Work
Aeschylus,Agamemnon
Aeschylus,Eumenides
Aeschylus,"Libation Bearers"
Aeschylus,Persians
Aeschylus,"Prometheus Bound"
Aeschylus,"Seven Against Thebes"
Aeschylus,"Suppliant Maidens"
Aristotle,Economics
Aristotle,"Eudemian Ethics"
Aristotle,Metaphysics
Aristotle,"Nicomachean Ethics"
Aristotle,Poetics
Aristotle,Politics
Aristotle,"The ""Art"" of Rhetoric"
Euripides,Alcestis
Euripides,Andromache
Euripides,Electra
Euripides,Hecuba
Euripides,Helen
Euripides,Heracleidae
Euripides,"Heracles Mad"
Euripides,Hippolytus
Euripides,Ion
Euripides,"Iphigenia Among the Tauri"
Euripides,"Iphigenia at Aulis"
Euripides,Medea
Euripides,Orestes
Euripides,Rhesus
Euripides,"The Bacchae"
Euripides,"The Cyclops"
Euripides,"The Phoenician Maidens"
Euripides,"The Suppliants"
Euripides,"The Trojan Women"
Hesiod,"Shield of Heracles"
Hesiod,Theogony
Hesiod,"Works and Days"
Homer,Epigrams
Homer,Iliad
Homer,Odyssey
"New Testament","1 Corinthians"
"New Testament","1 John"
"New Testament","1 Peter"
"New Testament","1 Thessalonians"
"New Testament","1 Timothy"
"New Testament","2 Corinthians"
"New Testament","2 John"
"New Testament","2 Peter"
"New Testament","2 Thessalonians"
"New Testament","2 Timothy"
"New Testament","3 John"
"New Testament",Acts
"New Testament",Colossians
"New Testament",Ephesians
"New Testament",Galatians
"New Testament",Hebrews
"New Testament",James
"New Testament",John
"New Testament",Jude
"New Testament",Luke
"New Testament",Mark
"New Testament",Matthew
"New Testament",Philemon
"New Testament",Philippians
"New Testament",Revelation
"New Testament",Romans
"New Testament",Titus
Plato,"Alcibiades 1"
Plato,"Alcibiades 2"
Plato,Apology
Plato,Charmides
Plato,Cleitophon
Plato,Cratylus
Plato,Critias
Plato,Crito
Plato,Epinomis
Plato,Euthydemus
Plato,Euthyphro
Plato,Gorgias
Plato,"Greater Hippias"
Plato,Hipparchus
Plato,Ion
Plato,Laches
Plato,Laws
Plato,"Lesser Hippias"
Plato,Letters
Plato,Lysis
Plato,Menexenus
Plato,Meno
Plato,Minos
Plato,Parmenides
Plato,Phaedo
Plato,Phaedrus
Plato,Philebus
Plato,Protagoras
Plato,Republic
Plato,Sophist
Plato,Statesman
Plato,Theaetetus
Plato,Theages
Plato,Timaeus
Plutarch,"A Discourse Concerning Socrates's Daemon"
Plutarch,"A Discourse Touching the Training of Children"
Plutarch,"A breviate of a discourse, showing that the Stoics speak greater improbabilities than the poets."
Plutarch,"A discourse to an unlearned prince"
Plutarch,"Aemilius Paulus"
Plutarch,"Against Colotes, the Disciple and Favorite of Epicurus."
Plutarch,"Against Running in Debt, or Taking up Money Upon Usury"
Plutarch,Agesilaus
Plutarch,"Agis and Cleomenes"
Plutarch,Alcibiades
Plutarch,Alexander
Plutarch,"An Abstract of a Comparison Betwixt Aristophanes and Menander"
Plutarch,Antony
Plutarch,Aratus
Plutarch,Aristides
Plutarch,Artaxerxes
Plutarch,Brutus
Plutarch,Caesar
Plutarch,"Caius Marcius Coriolanus"
Plutarch,"Caius Marius"
Plutarch,Camillus
Plutarch,"Cato the Younger"
Plutarch,Cicero
Plutarch,Cimon
Plutarch,"Comparison of Agesilaus and Pompey"
Plutarch,"Comparison of Agis and Cleomenes and the Gracchi"
Plutarch,"Comparison of Alcibiades and Coriolanus"
Plutarch,"Comparison of Aristides and Marcus Cato"
Plutarch,"Comparison of Demetrius and Antony"
Plutarch,"Comparison of Demosthenes and Cicero"
Plutarch,"Comparison of Dion and Brutus"
Plutarch,"Comparison of Lucullus and Cimon"
Plutarch,"Comparison of Lycurgus and Numa"
Plutarch,"Comparison of Lysander and Sulla"
Plutarch,"Comparison of Nicias and Crassus"
Plutarch,"Comparison of Pelopidas and Marcellus"
Plutarch,"Comparison of Pericles and Fabius Maximus"
Plutarch,"Comparison of Philopoemen and Titus"
Plutarch,"Comparison of Sertorius and Eumenes"
Plutarch,"Comparison of Solon and Publicola"
Plutarch,"Comparison of Theseus and Romulus"
Plutarch,"Comparison of Timoleon and Aemilius"
Plutarch,"Concerning Such Whom God is Slow to Punish"
Plutarch,"Concerning the Virtues of Women"
Plutarch,"Concerning the cure of anger: a dialogue"
Plutarch,"Concerning the fortune of the Romans"
Plutarch,"Concerning the fortune or virtue of Alexander the Great."
Plutarch,"Concerning the procreation of the soul as discoursed in Timaeus"
Plutarch,"Consolation to Apollonius"
Plutarch,Crassus
Plutarch,"De E apud Delphos"
Plutarch,Demetrius
Plutarch,Demosthenes
Plutarch,Dion
Plutarch,Eumenes
Plutarch,"Fabius Maximus"
Plutarch,Galba
Plutarch,"Greek Questions"
Plutarch,"How a Man May Be Sensible of His Progress in Virtue."
Plutarch,"How a Man May Inoffensively Praise Himself Without Being Liable to Envy"
Plutarch,"How a Young Man Ought to Hear Poems"
Plutarch,"How a man may receive advantage and profit from his
            enemies."
Plutarch,"How to Know a Flatterer from a Friend"
Plutarch,"Laconic Apophthegms; or Remarkable Sayings of the Spartans."
Plutarch,"Lives of the Ten Orators"
Plutarch,Lucullus
Plutarch,Lycurgus
Plutarch,Lysander
Plutarch,Marcellus
Plutarch,"Marcus Cato"
Plutarch,Nicias
Plutarch,Numa
Plutarch,"Of Banishment, or Flying One's Country."
Plutarch,"Of Bashfulness"
Plutarch,"Of Brotherly Love"
Plutarch,"Of Curiosity, or an Over-Busy Inquisitiveness into Things Impertinent."
Plutarch,"Of Envy and Hatred"
Plutarch,"Of Fate."
Plutarch,"Of Fortune"
Plutarch,"Of Garrulity, or Talkativeness"
Plutarch,"Of Hearing"
Plutarch,"Of Herodotus's Malice."
Plutarch,"Of Isis and Osiris, or of the Ancient Religion and Philosophy of Egypt."
Plutarch,"Of Large Acquaintance: or, an Essay to Prove the Folly of Seeking Many Friends"
Plutarch,"Of Moral Virtue"
Plutarch,"Of Natural Affection Towards One's Offspring"
Plutarch,"Of Superstition, or Indiscreet Devotion"
Plutarch,"Of Virtue and Vice"
Plutarch,"Of common conceptions, against the Stoics."
Plutarch,"Of eating of flesh: Tract I."
Plutarch,"Of eating of flesh: Tract II."
Plutarch,"Of the Face Appearing Within the Orb Of the Moon"
Plutarch,"Of the Love of Wealth"
Plutarch,"Of the Three Sorts of Government, Monarchy, Democracy, and Oligarchy."
