section,line_number,transliteration,translation
1,1,it-bi-e-ma iluGilgamiš šu-na-tam i-pa-aš-šar.,"Gilgamish arose interpreting dreams,"
1,2,iz-za-kar-am a-na um-mi-šu,addressing his mother.
1,3,um-mi i-na ša-a-at mu-ši-ti-i̭a,“My mother! during my night
1,4,ša-am-ḫa-ku-ma at-ta-na-al-la-ak,"I, having become lusty, wandered about"
1,5,i-na bi-ri-it id-da-tim,in the midst of omens.
1,6,ib-ba-šu-nim-ma ka-ka-’a ša-ma-i,"And there came out stars in the heavens,"
1,7,ki-?-?-rum ša a-nim im-ku-ut a-na ṣi-ri-i̭a,Like a … of heaven he fell upon me.
1,8,áš-ši-šu-ma ik-ta-bi-it e-li-i̭a,I bore him but he was too heavy for me.
1,9,ilam iš-šu-ma nu-uš-ša-šu u-ul el-ti-’i̭,He bore a net but I was not able to bear it.
1,10,ad-ki ma-tum pa-ḫi-ir e-li-šu,"I summoned the land to assemble unto him,"
1,11,id-lu-tum ú-na-ša-ku ši-pi-šu,that heroes might kiss his feet.
1,12,ú-um-mi-id-ma {{gap}}{{gap}}{{gap}}pu-ti,He stood up before me
1,13,i-mi- du {{gap}}{{gap}}{{gap}}{{gap}}i̭a-ti,and they stood over against me.
1,14,aš-ši-a-šu-ma at-ba-la-áš-šu a-na ṣi-ri-ki,I lifted him and carried him away unto thee.”
1,15,um-mi iluGilgamiš mu-u-da-a-at ka-la-ma,"The mother of Gilgamish she that knows all things,"
1,16,iz-za-kar-am a-na iluGilgamiš,said unto Gilgamish:—
1,17,mi-in-di iluGilgamish ša ki-ma ka-ti,“Truly oh Gilgamish he is
1,18,i-na ṣi-ri {{gap}}i-wa-li-id-ma,born in the fields like thee.
1,19,ú-ra-ab-bi-šu {{gap}}{{gap}}ša-du-ú,The mountains have reared him.
1,20,ta-mar-šu-ma  sa(?) -ap-ḫa-ta at-ta,Thou beholdest him and art distracted(?)
1,21,id-lu-tum ú-na-ša-ku ši-pi-šu,Heroes kiss his feet.
1,22,te-iṭ-ṭi-ra-šu(?) … šu-ú-zu,Thou shalt spare him….
1,23,ta-tar-ra- ’a -šu a-na ṣi- ri-i̭ a,Thou shalt lead him to me.”
1,24,iš-(?)  ti-lam-ma i-ta-mar ša-ni-tam,Again he dreamed and saw another dream
1,25,šu-na- ta i-ta-wa-a-am a-na um-mi-šu,and reported it unto his mother.
1,26,um-m i a-ta-mar {{gap}}ša-ni-tam,"“My mother, I have seen another"
1,27,šu-na-ta a-ta mar e-mi-a {{gap}}i-na zu-ki-im,[dream. I beheld] my likeness in the street.
1,28,i-na?  Unuk-(ki) ri-bi-tim,In Erech of the wide spaces
1,29,ḫa-aṣ-ṣi-nu {{gap}}{{gap}}na-di-i-ma,"he hurled the axe,"
1,30,e-li-šu {{gap}}{{gap}}pa-aḫ- ru,and they assembled about him.
1,31,ḫa-aṣ-ṣi-nu-um-ma ša-ni bu-nu-šu,Another axe seemed his visage.
1,32,a-mur-šu-ma aḫ-ta-ta a-na-ku,I saw him and was astounded.
1,33,a-ra-am-šu-ma ki-ma áš-ša-tim,"I loved him as a woman,"
1,34,a-ḫa-ap-pu-up {{gap}}{{gap}}el-šu,falling upon him in embrace.
1,35,el-ki-šu-ma áš-ta-ka-an-šu,I took him and made him
1,36,a-na {{gap}}{{gap}}{{gap}}{{gap}}a-ḫi-i̭a,my brother.”
1,37,um-mi iluGilgamish mu-da-at ka-la-ma,The mother of Gilgamish she that knows all things
1,38,iz-za-kar-am a-na iluGilgamish,[said unto Gilgamish:—]
2,1,aš-šum uš- tu-  ma-ḫa-ru it-ti-ka.,that he may join with thee in endeavor.”
2,2,iluGilgamish šu-na-tam i-pa-šar,(Thus) Gilgamish solves (his) dream.
2,3,iluEn-ki- dû w a?-ši-ib ma-ḫar ḫa-ri-im-tim,Enkidu sitting before the hierodule
2,4,UR  -ḫa-mu DI-?-al-lu-un,
2,5,im-ta-ši a-šar i-wa-al-du,[{{gap
2,6,ûmê 6 ù 7 mu-ši- a-tim,Six days and seven nights
2,7,iluEn-ki-dû te-bi-     i-ma,came forth Enkidu
2,8,ša- am-ka-ta ir- ḫi,and cohabited with the courtesan.
2,9,ḫa- ri-im-tu pa-a -ša i-pu-ša-am-ma,The hierodule opened her mouth
2,10,iz-za- kar-am  a-na iluEn-ki-dû,speaking unto Enkidu.
2,11,a-na-ṭal-ka dEn-ki-dû ki-ma ili ta-ba-áš-ši,“I behold thee Enkidu; like a god thou art.
2,12,am-mi-nim it-ti na-ma-áš-te-e,Why with the animals
2,13,ta-at-ta- na-al- la -ak ṣi-ra-am,wanderest thou on the plain?
2,14,al-kam {{gap}}lu-ùr-di- {{gap}}ka,Come! I will lead thee
2,15,a-na libbi Uruk-(ki) ri-bi-tim,"into the midst of Erech of the wide places,"
2,16,a-na biti  el- lim mu-ša-bi ša A-nim,"even unto the holy house, dwelling place of Anu."
2,17,dEn-ki-dû ti-bi lu-ru-ka,"Oh Enkidu, arise, I will conduct thee"
2,18,a-na É- an-n a mu-ša-bi ša A-nim,"unto Eanna dwelling place of Anu,"
2,19,a-šar  iluGilgamiš  it- .........  ne-pi-ši-tim(?),where Gilgamish [oppresses] the souls of men(?)
2,20,ù at-   -di  -  ma,And as I ............
2,21,ta-  ra-ma-an-     ka,thou shalt ........ thyself.
2,22,al-ka ti-ba i- na  ga-ag-ga-ri,"Come thou, arise from the ground"
2,23,ma-a-a? -ak {{gap}}{{gap}}ri-i-im,unto the place yonder (?) of the shepherd.”
2,24,iš-me a-wa-az-za im-ta-gár ga-ba-ša,He heard her speak and accepted her words with favor.
2,25,mi-il-kum ša sinništi,The advice of the woman
2,26,im-ta- ku -ut a-na libbi-šu,fell upon his heart.
2,27,iš-ḫu-uṭ li-ib-ša-am,She tore off one garment
2,28,iš-ti-nam ú -la-ab-bi-iš-šu,and clothed him with it.
2,29,li-ib-  ša-am  {{gap}}ša-ni-a-am,With a second garment
2,30,ši-i it-ta-al-ba- áš,she clothed herself.
2,31,ṣa-ab-ta-at {{gap}}ga-az- {{gap}}zu,"She clasped his hand,"
2,32,ki-ma ? i-ri-id-di-šu,guiding him like ..............
2,33,a-na gu-up-ri {{gap}}{{gap}}ša ri-i-im,"unto the mighty presence of the shepherd,"
2,34,a-š ar tar-ba-ṣi-im,unto the place of the ... of the sheepfolds.
2,35,i-na -ḫu-ru ri-i̭a-ú,In ......... to shepherd
2,36,.............................,.............................
3,1,ši-iz-ba ša na-ma-áš-te-e,Milk of the cattle
3,2,i-te-en-{{gap}}ni-{{gap}}{{gap}}iḳ,he drank.
3,3,a-ka-lam {{gap}} iš-ku-nu {{gap}}ma-ḫar-šu,Food they placed before him.
3,4,ip-te-iḳ-ma i-na {{gap}}{{gap}}-aṭ-ṭal,He broke bread
3,5,ù ip-pa-al-la-{{gap}}{{gap}}as,gazing and looking.
3,6,u-ul i-di {{gap}}dEn-ki- dû,But Enkidu understood not.
3,7,aklam a-na a-ka-lim,"Bread to eat,"
3,8,šikaram {{gap}}{{gap}}a-na ša-te-e-im,"beer to drink,"
3,9,la-a {{gap}}{{gap}}lum-mu- {{gap}}{{gap}}ud,he had not been taught.
3,10,ḫa-ri-im-lum pi-ša i-pu-ša-am- ma,The hierodule opened her mouth
3,11,iz-za-kar-am a-na iluEn-ki-dû,and said unto Enkidu:—
3,12,a-ku-ul {{gap}}ak-lam dEn-ki-dû,"“Eat bread, oh Enkidu!"
3,13,zi-ma-at {{gap}}ba-la-ṭi-im,"It is the conformity of life,"
3,14,bi-ši-ti {{gap}}ši-im-ti ma-ti,of the conditions and the fate of the land.”
3,15,i-ku-ul a-ak-lam iluEn-ki-dû,"Enkidu ate bread,"
3,16,a-di {{gap}}{{gap}}ši-bi-e-šu,until he was satiated.
3,17,šikaram {{gap}}{{gap}}iš-ti-a-am,Beer he drank
3,18,7 {{gap}}{{gap}}aṣ-ṣa-am-mi-im,seven {{gap
3,19,it-tap-šar kab-ta-tum i-na-an-gu,His thoughts became unbounded and he shouted loudly.
3,20,i-li-iṣ {{gap}}{{gap}}libba- šu- ma,"His heart became joyful,"
3,21,pa-nu-šu it- ta -bir -ru,and his face glowed.
3,22,ul-tap-pi-it [............]-i,He stroked.................
3,23,šu-ḫu-ra-am pa-ga-ar-šu,the hair of the head. His body
3,24,ša-am-nam ip-ta-ša-áš-ma,with oil he anointed.
3,25,a-we-li-iš {{gap}}i-mē,He became like a man.
3,26,il-ba- {{gap}}áš {{gap}}li-ib-ša-am,He attired himself with clothes
3,27,ki-ma mu-ti i-ba-áš-ši,even as does a husband.
3,28,il-ki {{gap}}ka-ak-ka-šu,"He seized his weapon,"
3,29,la-bi ú gi-ir- {{gap}}ri,which the panther and lion
3,30,iš-sa-ak-pu šab- ši -eš mu-ši-a-ti,fells in the night time cruelly.
3,31,ut- {{gap}}tap {{gap}}-pi-iš {{gap}}šib-ba-ri,He captured the wild mountain goats.
3,32,la-bi {{gap}}uk-t a  -ši-id,The panther he conquered.
3,33,it-ti immer na-ki- e?  ra-bu-tum,Among the great sheep for sacrifice
3,34,iluEn-ki-dû ma-aṣ-ṣa-ar-šu-nu,Enkidu was their guard.
3,35,a-we-lum {{gap}}wa-ru-um,"A man, a leader,"
3,36,iš- te -en {{gap}}{{gap}}id-lum,A hero.
3,37,a-na  ........ u -za-ak-ki-ir,Unto .......... he elevated
4,1,i-ip-pu-uš {{gap}}{{gap}}ul-ṣa-am,And he made glad.
4,2,iš-ši-ma   {{gap}}{{gap}}i-ni-i-šu,"He lifted up his eyes,"
4,3,i-ta-mar   {{gap}}{{gap}}a-we-lam,"and beheld the man,"
4,4,iz-za-kar-am {{gap}}a-na ḫarimti,and said unto the hierodule:—
4,5,ša-am-ka-at uk-ki-ši a-we-lam,"“Oh harlot, take away the man."
4,6,a-na mi-nim {{gap}}il-li-kam,Wherefore did he come to me?
4,7,zi-ki-ir-šu {{gap}}lu-uš-šu,I would forget the memory of him.”
4,8,ḫa-ri-im-tum iš-ta-si a-we-lam,The hierodule called unto the man
4,9,i-ba-uš-šu-um-ma i-ta-mar-šu,and came unto him beholding him.
4,10,e-di-il {{gap}}e-eš-ta-ḫi- ṭa-am,She sorrowed and was astonished
4,11,mi-nu {{gap}}a-la-ku-zu na-aḫ-  {{gap}}- ma,how his ways were ............
4,12,e pi-šu    {{gap}}i-pu-ša-am- ma,Behold she opened her mouth
4,13,iz-za-kar-am a-na iluEn- ki-dû,saying unto Enkidu:—
4,14,bi-ti-iš e-mu-tim [{{gap}}{{gap}}],“At home with a family [to dwell??]
4,15,ši-ma-a-at {{gap}}ni-ši-i- {{gap}}ma,is the fate of mankind.
4,16,tu-ṣa-ar pa-a-ta-tim,Thou shouldest design boundaries(??)
4,17,a-na âli dup-šak-ki-i e ṣi-en,for a city. The trencher-basket put (upon thy head).
4,18,UG-AD-AD-LIL e-mi ṣa-a-a-ḫa-tim,...........an abode of comfort.
4,19,a-na šarri Unuk-(ki) ri-bi-tim,For the king of Erech of the wide places
4,20,pi-ti pu-uk epši {{gap}}a-na ḫa-a-a-ri,"open, addressing thy speech as unto a husband."
4,21,a-na iluGilgamiš šarri ša Unuk-(ki) ri-bi-tim,Unto Gilgamish king of Erech of the wide places
4,22,pi-ti pu-uk {{gap}}{{gap}}epši,"open, addressing thy speech"
4,23,a-na {{gap}}ha-a-a-ri,as unto a husband.
4,24,áš-ša-at ši-ma-tim i-ra-aḫ-ḫi,"He cohabits with the wife decreed for him,"
4,25,šu-u {{gap}}pa-na-nu-um-ma,even he formerly.
4,26,mu-uk {{gap}}wa-ar-ka-nu,But henceforth
4,27,i-na mi-il-ki ša ili ga-bi-ma,"in the counsel which god has spoken,"
4,28,i-na bi-ti-iḳ {{gap}}a-pu-un-na-ti-šu,in the work of his presence
4,29,ši- {{gap}}ma- {{gap}}az- {{gap}}{{gap}}zum,shall be his fate.”
4,30,a-na zi-ik-ri {{gap}}{{gap}}id-li-im,At the mention of the hero
