text_id,text_title,text_type,section,line_number,source_line_number,sumerian,translation
1,LAMENTATION OF ISHME-DAGAN OVER NIPPUR,lamentation,OBVERSE. COL. I,1,1,... túg ba-ra-pad-da,
1,LAMENTATION OF ISHME-DAGAN OVER NIPPUR,lamentation,OBVERSE. COL. I,2,2,d.A-nun-na-ge-ne na-ba-an-ri-gi-eš-ám,The Anunnaki he caused to take their seats.
1,LAMENTATION OF ISHME-DAGAN OVER NIPPUR,lamentation,OBVERSE. COL. I,3,3,ub-šu-ukkin-na ki di-gal tar-ru,"In the Assembly Hall, place where the great judgments are decided,"
1,LAMENTATION OF ISHME-DAGAN OVER NIPPUR,lamentation,OBVERSE. COL. I,4,4,eš-bar-e si-di ba-ra-an-zu-uš-ám,Decisions to arrange he caused them to know.
1,LAMENTATION OF ISHME-DAGAN OVER NIPPUR,lamentation,OBVERSE. COL. I,5,5,dingir-bi-ne ki-dúr ba-ab- gar-ra,These gods he caused to take up there their abode.
1,LAMENTATION OF ISHME-DAGAN OVER NIPPUR,lamentation,OBVERSE. COL. I,6,6,šug-láģ-bi im-šub-ba aga-bi im-ri-a,"Their clean sacrificial food he gave, their crowns he clothed upon them."
1,LAMENTATION OF ISHME-DAGAN OVER NIPPUR,lamentation,OBVERSE. COL. I,7,7,ki-lugal du-azag ḳin-sîg unù-gal-ba,"In the king’s place, the throne room, the _ḳinsig_ of the vast abode,"
1,LAMENTATION OF ISHME-DAGAN OVER NIPPUR,lamentation,OBVERSE. COL. I,8,8,tin làl bal-bal-e mu-šú be-ib-tar-ra,The libation of wine and honey yearly he decreed.
1,LAMENTATION OF ISHME-DAGAN OVER NIPPUR,lamentation,OBVERSE. COL. I,9,9,Nibru-(ki) uru giš-gig-dagal-la-bi-šú,For Nippur the city whose shadow extends afar
1,LAMENTATION OF ISHME-DAGAN OVER NIPPUR,lamentation,OBVERSE. COL. I,10,10,uku-sag-gig-ga ní-im-ši-ib-te-en-na,"The people, the dark headed, he caused to have reverence."
1,LAMENTATION OF ISHME-DAGAN OVER NIPPUR,lamentation,OBVERSE. COL. I,11,11,ki-dúr-ba gú-ni a-gim ba-ra-an-šub,But its habitations he cursed ...
1,LAMENTATION OF ISHME-DAGAN OVER NIPPUR,lamentation,OBVERSE. COL. I,12,12,ab sīg-gan-dúg-ga-gim e-ne sīg-gan-ba-ra-an-dúg,Like scattered cows he scattered them.
1,LAMENTATION OF ISHME-DAGAN OVER NIPPUR,lamentation,OBVERSE. COL. I,13,13,uru šag-bi er-gíg sȋg- bi,"The city’s interior is filled with weeping,"
1,LAMENTATION OF ISHME-DAGAN OVER NIPPUR,lamentation,OBVERSE. COL. I,14,14,en-na dam dingir ga-ša-an-bi li-bi nu-tar-ri,"While the consort, its divine queen, is not solicitous for her."
1,LAMENTATION OF ISHME-DAGAN OVER NIPPUR,lamentation,OBVERSE. COL. I,15,15,é-gu-la za-pa-ag ib-zu-a-bi,"The great house which knew the cry of multitudes,"
1,LAMENTATION OF ISHME-DAGAN OVER NIPPUR,lamentation,OBVERSE. COL. I,16,16,é-ri-a-súd-gim galu nu-un-tur-tur,Like a vast building in ruins men enter not.
1,LAMENTATION OF ISHME-DAGAN OVER NIPPUR,lamentation,OBVERSE. COL. I,17,17,Nibru-(ki) uru ki ligir-ligir-gal-gal-e-ne šu-im-ma-an-ḪA-eš-ám,"In Nippur, the city where great princes were prosperous,"
1,LAMENTATION OF ISHME-DAGAN OVER NIPPUR,lamentation,OBVERSE. COL. I,18,18,a-na-áš ú-gu i-ni-in-de-eš,Why have they fled?
1,LAMENTATION OF ISHME-DAGAN OVER NIPPUR,lamentation,OBVERSE. COL. I,19,19,uku sag-gig gú-sa-ģi-a udu-gim be-ib-?-a,"The people, the dark headed, all of them like sheep...."
1,LAMENTATION OF ISHME-DAGAN OVER NIPPUR,lamentation,OBVERSE. COL. I,20,20,e(?)-en-šú KAK-RU er a-nir šag PA-ḪI-BAD-a,"How long shall loud crying(?), weeping and wailing _distress_ (?) the heart?"
