language,pattern,replacement,description,priority
malayalam,[\u0D4D],,Remove Malayalam virama/chandrakkala (vowel killer),1
malayalam,[\u0D3E-\u0D44\u0D46-\u0D48\u0D4A-\u0D4C],,Remove Malayalam dependent vowel signs,2
malayalam,[\u0D62-\u0D63],,Remove Malayalam vocalic L and LL signs,3
malayalam,ം,,Remove Malayalam anusvara (anusvaram),4
malayalam,ഃ,,Remove Malayalam visarga (visargam),5
malayalam,ഁ,,Remove Malayalam candrabindu (chandrakala),6
malayalam,ഄ,,Remove Malayalam letter vedic anusvara,7
malayalam,[\u200C\u200D],,Remove zero-width non-joiner and joiner,8
malayalam,്,,Remove Malayalam chandrakkala (virama),9
malayalam,ൗ,,Remove Malayalam au length mark,10
malayalam,൏,,Remove Malayalam date mark,11
malayalam,ൎ,ര,Normalize Malayalam chillu r to ra,12
malayalam,ൔ,,Remove Malayalam chillu m,13
malayalam,ൕ,,Remove Malayalam chillu y,14
malayalam,ൖ,,Remove Malayalam chillu lll,15
malayalam,ൗ,,Remove Malayalam au length mark,16
malayalam,ഀ,,Remove Malayalam combining anusvara,17
