Author,Work
"1Chronicles (OSHB)",1Chronicles
"1Kings (OSHB)",1Kings
"1Samuel (OSHB)",1Samuel
"2Chronicles (OSHB)",2Chronicles
"2Kings (OSHB)",2Kings
"2Samuel (OSHB)",2Samuel
"Achilles Tatius","Leucippe and Clitophon"
"Acta Barnabae","Acta Barnabae"
"Acta Joannis","Acta Joannis (recensio)"
"Acta Joannis","Acts of John"
"Acta Philippi","Acts of Philip"
"Acta Thomae","Acts of Thomas"
"Adamantius Judaeus",Physiognomonica
"Adamantius Judaeus","Physiognomonica (epitome Matritensis)"
"Adrianus of Tyre",Declamatio
Aelian,"De Natura Animalium"
Aelian,"Epistulae Rusticae"
Aelian,Fragmenta
Aelian,"Varia Historia"
"Aelius Herodianus","De Figuris"
"Aelius Herodianus","De figuris"
"Aelius Herodianus","De prosodia catholica"
"Aelius Herodianus","On Enclitics"
"Aelius Herodianus",tlg004
"Aelius Herodianus",tlg005
"Aelius Herodianus",tlg006
"Aelius Herodianus",tlg007
"Aelius Herodianus",tlg008
"Aelius Herodianus",tlg009
"Aelius Herodianus",tlg009a
"Aelius Herodianus",tlg010
"Aelius Herodianus",tlg011
"Aelius Herodianus",tlg012
"Aelius Herodianus",tlg013
"Aelius Herodianus",tlg014
"Aelius Herodianus",tlg015
"Aelius Herodianus",tlg016
"Aelius Herodianus",tlg017
"Aelius Herodianus",tlg018
"Aelius Herodianus",tlg019
"Aelius Herodianus",tlg020
"Aelius Herodianus",tlg021
"Aelius Herodianus",tlg022
"Aelius Herodianus",tlg023
"Aelius Herodianus",tlg024
"Aelius Herodianus",tlg026
"Aelius Herodianus",tlg027
"Aelius Herodianus",tlg028
"Aelius Herodianus",tlg029
"Aelius Herodianus",tlg030
"Aelius Herodianus",tlg031
"Aelius Herodianus",tlg032
"Aelius Herodianus",tlg033
"Aelius Theon",tlg001
"Aeneas Tacticus",Poliorcetica
Aeschines,"Against Ctesiphon"
Aeschines,"Against Timarchus"
Aeschines,Epistolae
Aeschines,"On the Embassy"
Aeschylus,Agamemnon
Aeschylus,Eumenides
Aeschylus,"Libation Bearers"
Aeschylus,Persians
Aeschylus,"Prometheus Bound"
Aeschylus,"Seven Against Thebes"
Aeschylus,"Suppliant Maidens"
Aeschylus,Supplices
Aesop,Fabulae
Agatharchides,"De Rubro Mari"
Agathemerus,"
            Geographiae informatio, Greek Roman and Byzantine Studies
        "
Agathemerus,tlg001
"Agathias Scholasticus",Epigrammata
"Agathias Scholasticus",Historiae
Agathodaemon,"Alchemical Fragment"
Agathodaemon,"Explanation and Commentary on the Oracle of Orpheus"
"Aglaias, Byzantius","Remedy against Incipient Cataracts"
Albinus,"Handbook of Platonism"
Albinus,"Introduction to Plato's Dialogues"
Alcidamas,Odysseus
Alciphron,Epistles
"Alexander Numenius","De Figuris"
"Alexander of Aphrodisias","De anima"
"Alexander of Aphrodisias","De anima libri mantissa"
"Alexander of Aphrodisias","De fato"
"Alexander of Aphrodisias","De febribus [Sp.]"
"Alexander of Aphrodisias","De mixtione"
