"Author","Work","WorkID"
"Achilles Tatius","Leucippe and Clitophon","tlg0532.tlg001"
"Acta Barnabae","Acta Barnabae","tlg2949.tlg001_OGL"
"Acta Joannis","Acta Joannis","tlg0317.tlg001_OGL"
"Acta Joannis","Acta Joannis (recensio)","tlg0317.tlg002_OGL"
"Acta Philippi","Acta Philippi","tlg2948.tlg001_OGL"
"Acta Thomae","Acta Thomae","tlg2038.tlg001_OGL"
"Adamantius Judaeus","Physiognomonica","tlg0731.tlg001_OGL"
"Adamantius Judaeus","Physiognomonica (epitome Matritensis)","tlg0731.tlg003_OGL"
"Adrianus of Tyre","Declamatio","tlg0666.tlg001_OGL"
"Aelian","De Natura Animalium","tlg0545.tlg001"
"Aelian","Epistulae Rusticae","tlg0545.tlg003"
"Aelian","Fragmenta","tlg0545.tlg004_OGL"
"Aelian","Varia Historia","tlg0545.tlg002"
"Aelius Herodianus","De Figuris","tlg0087.tlg035_OGL"
"Aelius Herodianus","De enclisi","tlg0087.tlg002_OGL"
"Aelius Herodianus","De prosodia catholica","tlg0087.tlg001_OGL"
"Aelius Herodianus","Εἰς τὴν Ἀπολλωνίου εἰσαγωγήν","tlg0087.tlg032_OGL"
"Aelius Herodianus","Εἰς τὸ περὶ γενῶν Ἀπολλωνίου ὑπόμνημα","tlg0087.tlg014_OGL"
"Aelius Herodianus","Μονόβιβλον περὶ τοῦ μὴ πάντα τὰ ῥήματα κλίνεσθαι εἰς πάντας τοὺς χρόνους","tlg0087.tlg018_OGL"
"Aelius Herodianus","Μονόβιβλον περὶ τοῦ ἦν","tlg0087.tlg020_OGL"
"Aelius Herodianus","Μονόβιβλον περὶ τοῦ ὕδωρ","tlg0087.tlg015_OGL"
"Aelius Herodianus","Περὶ γάμου καὶ συμβιώσεως","tlg0087.tlg029_OGL"
"Aelius Herodianus","Περὶ διχρόνων","tlg0087.tlg004_OGL"
"Aelius Herodianus","Περὶ κλίσεως ὀνομάτων","tlg0087.tlg013_OGL"
"Aelius Herodianus","Περὶ μετοχῶν","tlg0087.tlg019_OGL"
"Aelius Herodianus","Περὶ μονήρους λέξεως","tlg0087.tlg033_OGL"
"Aelius Herodianus","Περὶ μονοσυλλάβων","tlg0087.tlg028_OGL"
"Aelius Herodianus","Περὶ παθῶν","tlg0087.tlg009_OGL"
"Aelius Herodianus","Περὶ παρωνύμων","tlg0087.tlg026_OGL"
"Aelius Herodianus","Περὶ πνευμάτων","tlg0087.tlg005_OGL"
"Aelius Herodianus","Περὶ συζυγιῶν","tlg0087.tlg017_OGL"
"Aelius Herodianus","Περὶ συντάξεως τῶν στοιχείων","tlg0087.tlg010_OGL"
"Aelius Herodianus","Περὶ σχημάτων","tlg0087.tlg025_OGL"
"Aelius Herodianus","Περὶ τοῦ ζώς","tlg0087.tlg016_OGL"
"Aelius Herodianus","Περὶ τῶν εἰς μι","tlg0087.tlg022_OGL"
"Aelius Herodianus","Περὶ ἀντωνυμιῶν","tlg0087.tlg023_OGL"
"Aelius Herodianus","Περὶ Ἀττικῆς προσῳδίας","tlg0087.tlg006_OGL"
"Aelius Herodianus","Περὶ ἐπιρρημάτων","tlg0087.tlg024_OGL"
"Aelius Herodianus","Περὶ Ἰλιακῆς προσῳδίας","tlg0087.tlg007_OGL"
"Aelius Herodianus","Περὶ ὀνομάτων","tlg0087.tlg012_OGL"
"Aelius Herodianus","Περὶ ὀρθογραφίας","tlg0087.tlg011_OGL"
"Aelius Herodianus","Περὶ Ὀδυσσειακῆς προσῳδίας","tlg0087.tlg008_OGL"
"Aelius Herodianus","Περὶ ῥημάτων","tlg0087.tlg021_OGL"
"Aelius Herodianus","Περὶ ῥηματικῶν ὀνομάτων","tlg0087.tlg027_OGL"
