"Author","Work","WorkID"
"Apuleius","Apologia","phi1212.phi001"
"Apuleius","Florida","phi1212.phi003"
"Apuleius","Metamorphoses","phi1212.phi002"
"Catullus","Carmina","phi0472.phi001"
"Celsus, Aulus Cornelius","De Medicina","phi0836.phi002"
"Cicero, Marcus Tullius","Academica","phi0474.phi045"
"Cicero, Marcus Tullius","Against Vatinius","phi0474.phi023"
"Cicero, Marcus Tullius","Brutus","phi0474.phi039"
"Cicero, Marcus Tullius","Cum Senatui gratias egit","phi0474.phi019"
"Cicero, Marcus Tullius","Cum populo gratias egit","phi0474.phi018"
"Cicero, Marcus Tullius","De Amicitia","phi0474.phi052"
"Cicero, Marcus Tullius","De Divinatione","phi0474.phi053"
"Cicero, Marcus Tullius","De Fato","phi0474.phi054"
"Cicero, Marcus Tullius","De Imperio Cn. Pompei Ad Quirites","phi0474.phi009"
"Cicero, Marcus Tullius","De Inventione","phi0474.phi036"
"Cicero, Marcus Tullius","De Lege Agraria","phi0474.phi011"
"Cicero, Marcus Tullius","De Officiis","phi0474.phi055"
"Cicero, Marcus Tullius","De Optimo Genere Oratorum","phi0474.phi041"
"Cicero, Marcus Tullius","De Republica","phi0474.phi043"
"Cicero, Marcus Tullius","De Senectute","phi0474.phi051"
"Cicero, Marcus Tullius","De domo sua ad pontifices","phi0474.phi020"
"Cicero, Marcus Tullius","De haruspicum responso in P. Clodium","phi0474.phi021"
"Cicero, Marcus Tullius","De provinciis consularibus","phi0474.phi025"
"Cicero, Marcus Tullius","Divinatio in Q. Caecilium","phi0474.phi004"
"Cicero, Marcus Tullius","In C. Verrem","phi0474.phi005"
"Cicero, Marcus Tullius","In Catilinam","phi0474.phi013"
"Cicero, Marcus Tullius","In L. Calpurnium Pisonem","phi0474.phi027"
"Cicero, Marcus Tullius","Letters to Atticus","phi0474.phi057"
"Cicero, Marcus Tullius","Letters to Brutus","phi0474.phi059"
"Cicero, Marcus Tullius","Letters to his Friends","phi0474.phi056"
"Cicero, Marcus Tullius","Letters to his brother Quintus","phi0474.phi058"
"Cicero, Marcus Tullius","Lucullus","phi0474.phi046"
"Cicero, Marcus Tullius","On Oratory","phi0474.phi037"
"Cicero, Marcus Tullius","Orator","phi0474.phi040"
"Cicero, Marcus Tullius","Paradoxa Stoicorum","phi0474.phi047"
"Cicero, Marcus Tullius","Partitiones Oratoriae","phi0474.phi038"
"Cicero, Marcus Tullius","Philippicae","phi0474.phi035"
"Cicero, Marcus Tullius","Pro A. Caecina","phi0474.phi008"
"Cicero, Marcus Tullius","Pro A. Cluentio","phi0474.phi010"
"Cicero, Marcus Tullius","Pro Archia Poeta","phi0474.phi016"
"Cicero, Marcus Tullius","Pro C. Rabirio Perduellionis Reo Ad Quirites","phi0474.phi012"
"Cicero, Marcus Tullius","Pro C. Rabirio Postumo","phi0474.phi030"
"Cicero, Marcus Tullius","Pro Cn. Plancio","phi0474.phi028"
"Cicero, Marcus Tullius","Pro Fonteio","phi0474.phi007"
"Cicero, Marcus Tullius","Pro L. Cornelio Balbos","phi0474.phi026"
"Cicero, Marcus Tullius","Pro L. Flacco","phi0474.phi017"
"Cicero, Marcus Tullius","Pro L. Murena","phi0474.phi014"
"Cicero, Marcus Tullius","Pro M. Caelio","phi0474.phi024"
"Cicero, Marcus Tullius","Pro M. Marcello","phi0474.phi032"
"Cicero, Marcus Tullius","Pro M. Scauro","phi0474.phi029"
"Cicero, Marcus Tullius","Pro M. Tullio","phi0474.phi006"
"Cicero, Marcus Tullius","Pro P. Quinctio","phi0474.phi001"
"Cicero, Marcus Tullius","Pro P. Sestio","phi0474.phi022"
"Cicero, Marcus Tullius","Pro P. Sulla","phi0474.phi015"
"Cicero, Marcus Tullius","Pro Q. Ligario","phi0474.phi033"
"Cicero, Marcus Tullius","Pro Q. Roscio Comoedo","phi0474.phi003"
"Cicero, Marcus Tullius","Pro Rege Deiotaro","phi0474.phi034"
"Cicero, Marcus Tullius","Pro S. Roscio Amerino","phi0474.phi002"
"Cicero, Marcus Tullius","Pro T. Annio Milone","phi0474.phi031"
"Cicero, Marcus Tullius","Timaeus","phi0474.phi072"
"Cicero, Marcus Tullius","Topica","phi0474.phi042"
"Cicero, Marcus Tullius","Tusculanae Disputationes","phi0474.phi049"
"Cicero, Marcus Tullius","de Finibus Bonorum et Malorum","phi0474.phi048"
"Cicero, Marcus Tullius","de Natura Deorum","phi0474.phi050"
"Columella, Lucius Junius Moderatus","Res Rustica","phi0845.phi002"
"Curtius Rufus, Quintus","Historiarum Alexandri Magni","phi0860.phi001"
"Florus, Lucius Annaeus","Epitome Rerum Romanorum","phi1242.phi001"
"Gellius, Aulus","Noctes Atticae","phi1254.phi001"
"Horace","Ars Poetica","phi0893.phi006"
"Horace","Carmen Saeculare","phi0893.phi002"
"Horace","Carmina","phi0893.phi001"
"Horace","Epistulae","phi0893.phi005"
"Horace","Epodi","phi0893.phi003"
"Horace","Sermones","phi0893.phi004"
"Julius Caesar","De Bello Civili","phi0448.phi002"
"Julius Caesar","De Bello Gallico","phi0448.phi001"
"Juvenal","Saturae ","phi1276.phi001"
