word,status,sources,author,work,language
Δρακάνῳ,morphology_only,,Homeric Hymns,Hymn 1 to Dionysus,greek
Θυώνην,no_entry,,Homeric Hymns,Hymn 1 to Dionysus,greek
Νύση,no_entry,,Homeric Hymns,Hymn 1 to Dionysus,greek
Σεμέλην,morphology_only,,Homeric Hymns,Hymn 1 to Dionysus,greek
Σεμέλῃ,morphology_only,,Homeric Hymns,Hymn 1 to Dionysus,greek
βαθυδινήεντι,no_entry,,Homeric Hymns,Hymn 1 to Dionysus,greek
εἰραφιῶτα,no_entry,,Homeric Hymns,Hymn 1 to Dionysus,greek
κυσαμένην,no_entry,,Homeric Hymns,Hymn 1 to Dionysus,greek
ἀνθέον,no_entry,,Homeric Hymns,Hymn 1 to Dionysus,greek
Ἀλφειῷ,no_entry,,Homeric Hymns,Hymn 1 to Dionysus,greek
ἐπιληθομένῳ,no_entry,,Homeric Hymns,Hymn 1 to Dionysus,greek
ἠνεμοέσσῃ,no_entry,,Homeric Hymns,Hymn 1 to Dionysus,greek
Ἰκάρῳ,morphology_only,,Homeric Hymns,Hymn 1 to Dionysus,greek
ῥέξουσι,no_entry,,Homeric Hymns,Hymn 1 to Dionysus,greek
Γαλαξαύρη,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Δημοφόων,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Δημοφόωνθʼ,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Διοκλεῖ,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Διόκλου,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Εὐμόλποιο,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Καλλιδίκη,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Καλλιθόη,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Καλυψὼ,morphology_only,wiktionary; wiktionary,Homeric Hymns,Hymn 2 to Demeter,greek
Κελεοῖο,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Κελεῷ,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Κλεισιδίκη,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Κρονιδαο,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Λευκίππη,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Μελίτη,morphology_only,wiktionary; wiktionary,Homeric Hymns,Hymn 2 to Demeter,greek
Μετάνειρα,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Μετάνειραν,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Μετανείρῃ,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Μηλόβοσίς,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Νύσιον,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Περσαίου,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Περσεφονείῃ,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Περσεφόνεια,morphology_only,,Homeric Hymns,Hymn 2 to Demeter,greek
Περσεφόνειαν,morphology_only,,Homeric Hymns,Hymn 2 to Demeter,greek
Πολυξείνῳ,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Τριπτολέμου,morphology_only,,Homeric Hymns,Hymn 2 to Demeter,greek
Τριπτολέμῳ,morphology_only,,Homeric Hymns,Hymn 2 to Demeter,greek
εὐαγέως,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
ζυγὸς,morphology_only,wiktionary; wiktionary,Homeric Hymns,Hymn 2 to Demeter,greek
θυμήρεʼ,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
κʼ,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
καλυκώπιδι,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
καταφθινύθουσα,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
ληιστῆρες,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
νοσφισθεῖσα,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
παρασκώπτουσʼ,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
προσηνάγκασσε,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
σχήσησθα,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
τιθηνοίμην,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
ἀμαξιτόν,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
ἀμφαγάπησε,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Ἀίδαο,morphology_only,wiktionary,Homeric Hymns,Hymn 2 to Demeter,greek
Ἀίδην,morphology_only,wiktionary,Homeric Hymns,Hymn 2 to Demeter,greek
Ἀίδῃ,morphology_only,wiktionary,Homeric Hymns,Hymn 2 to Demeter,greek
Ἀδμήτη,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Ἀκάστη,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Ἀντρῶνά,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
ἐγρεμάχη,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
ἐκθρέψαιο,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
ἐξανελοῦσα,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
ἐπηλυσίης,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
ἐπηρτύνοντο,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
ἐπιπροΐαλλεν,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
ἐσάκουσαν,morphology_only,wiktionary,Homeric Hymns,Hymn 2 to Demeter,greek
Ἐλευσινίδαο,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Ἐρέβευς,morphology_only,wiktionary,Homeric Hymns,Hymn 2 to Demeter,greek
Ἐρέβευσφι,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Ἔρεβος,morphology_only,wiktionary; wiktionary; wiktionary,Homeric Hymns,Hymn 2 to Demeter,greek
Ἠλέκτρη,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Ἰάμβη,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Ἰάνειρά,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
ὑποτάμνον,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Ὠκυρόη,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
Ῥοδόπη,morphology_only,,Homeric Hymns,Hymn 2 to Demeter,greek
Ῥόδειά,no_entry,,Homeric Hymns,Hymn 2 to Demeter,greek
-,no_entry,,Homeric Hymns,Hymn 3 to Apollo,greek
