word,status,sources,author,work,language
Αἰακὸς,no_entry,,Homer,Iliad,greek
Αἰγίλιπα,no_entry,,Homer,Iliad,greek
Αἰγεΐδην,no_entry,,Homer,Iliad,greek
Αἰγιάλεια,no_entry,,Homer,Iliad,greek
Αἰθίκεσσι,no_entry,,Homer,Iliad,greek
Αἰνέας,morphology_only,wiktionary,Homer,Iliad,greek
Αἰνεία,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Αἰνείαν,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Αἰνείαο,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Αἰνείας,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Αἰνείω,morphology_only,wiktionary,Homer,Iliad,greek
Αἰνείᾳ,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Αἰολίδης,no_entry,,Homer,Iliad,greek
Αἰπύτιον,no_entry,,Homer,Iliad,greek
Αἰσήποιο,no_entry,,Homer,Iliad,greek
Αἰσυήταο,no_entry,,Homer,Iliad,greek
Αἰσύμηθεν,no_entry,,Homer,Iliad,greek
Αἰτώλιον,no_entry,,Homer,Iliad,greek
Αἰτώλιος,no_entry,,Homer,Iliad,greek
Αἱμονίδαο,no_entry,,Homer,Iliad,greek
Αἱμονίδης,no_entry,,Homer,Iliad,greek
Αἴγιον,morphology_only,,Homer,Iliad,greek
Αἴθην,no_entry,,Homer,Iliad,greek
Αἴθης,no_entry,,Homer,Iliad,greek
Αἴνιον,no_entry,,Homer,Iliad,greek
Αἴσηπον,morphology_only,,Homer,Iliad,greek
Αἴσηπος,morphology_only,,Homer,Iliad,greek
Αἴσυμνόν,no_entry,,Homer,Iliad,greek
Αὐγείαο,morphology_only,wiktionary,Homer,Iliad,greek
Αὐγείας,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Αὐγειὰς,morphology_only,wiktionary,Homer,Iliad,greek
Αὐγηϊάδαο,no_entry,,Homer,Iliad,greek
Αὐλίδα,no_entry,,Homer,Iliad,greek
Αὐτοφόνοιο,no_entry,,Homer,Iliad,greek
Αὐτόλυκος,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Βίαντά,no_entry,,Homer,Iliad,greek
Βίαντος,no_entry,,Homer,Iliad,greek
Βαθυκλῆα,no_entry,,Homer,Iliad,greek
Βαλίε,no_entry,,Homer,Iliad,greek
Βαλίον,no_entry,,Homer,Iliad,greek
Βατίειαν,no_entry,,Homer,Iliad,greek
Βελλεροφόντην,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Βελλεροφόντης,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Βελλεροφόντῃ,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Βιάνορα,no_entry,,Homer,Iliad,greek
Βοίβην,no_entry,,Homer,Iliad,greek
Βοαγρίου,morphology_only,,Homer,Iliad,greek
Βοιβηΐδα,no_entry,,Homer,Iliad,greek
Βουδείῳ,no_entry,,Homer,Iliad,greek
Βουκολίδαο,no_entry,,Homer,Iliad,greek
Βουκολίων,no_entry,,Homer,Iliad,greek
Βουκολίωνι,no_entry,,Homer,Iliad,greek
Βουπράσιόν,no_entry,,Homer,Iliad,greek
Βουπρασίοιο,no_entry,,Homer,Iliad,greek
Βουπρασίου,no_entry,,Homer,Iliad,greek
Βουπρασίῳ,no_entry,,Homer,Iliad,greek
Βρισηΐδα,morphology_only,wiktionary,Homer,Iliad,greek
Βρισηΐδι,no_entry,,Homer,Iliad,greek
Βρισηΐδος,no_entry,,Homer,Iliad,greek
Βρισηῒς,morphology_only,wiktionary,Homer,Iliad,greek
Βρισῆος,no_entry,,Homer,Iliad,greek
Βρυσειάς,no_entry,,Homer,Iliad,greek
Βώρου,no_entry,,Homer,Iliad,greek
Βώρῳ,no_entry,,Homer,Iliad,greek
Γάργαρον,no_entry,,Homer,Iliad,greek
Γαλάτεια,morphology_only,,Homer,Iliad,greek
Γανυμήδεος,no_entry,,Homer,Iliad,greek
Γανυμήδης,no_entry,,Homer,Iliad,greek
Γαργάρῳ,no_entry,,Homer,Iliad,greek
Γερήνιος,morphology_only,,Homer,Iliad,greek
Γλαύκου,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Γλαύκῳ,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Γλαῦκε,morphology_only,wiktionary,Homer,Iliad,greek
Γλαῦκον,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Iliad,greek
Γλαῦκος,morphology_only,wiktionary; wiktionary,Homer,Iliad,greek
Γλαῦκόν,morphology_only,wiktionary,Homer,Iliad,greek
Γλισᾶντʼ,no_entry,,Homer,Iliad,greek
Γονόεσσαν,no_entry,,Homer,Iliad,greek
Γοργυθίωνα,no_entry,,Homer,Iliad,greek
Γουνεὺς,no_entry,,Homer,Iliad,greek
Γρήνικός,no_entry,,Homer,Iliad,greek
