word,status,sources,author,work,language
Αἰήταο,morphology_only,wiktionary,Homer,Odyssey,greek
Αἰαίη,no_entry,,Homer,Odyssey,greek
Αἰαίην,no_entry,,Homer,Odyssey,greek
Αἰαίης,no_entry,,Homer,Odyssey,greek
Αἰγίσθοιο,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Αἰγίσθου,morphology_only,wiktionary,Homer,Odyssey,greek
Αἰολίδαο,no_entry,,Homer,Odyssey,greek
Αἰολίην,no_entry,,Homer,Odyssey,greek
Αἴγισθον,morphology_only,wiktionary,Homer,Odyssey,greek
Αἴγισθος,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Αἴολον,morphology_only,,Homer,Odyssey,greek
Αἴολος,morphology_only,,Homer,Odyssey,greek
Αἴσονά,no_entry,,Homer,Odyssey,greek
Αὐτολύκοιο,morphology_only,wiktionary,Homer,Odyssey,greek
Αὐτολύκου,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Αὐτονόην,morphology_only,,Homer,Odyssey,greek
Αὐτόλυκʼ,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Αὐτόλυκον,morphology_only,wiktionary,Homer,Odyssey,greek
Αὐτόλυκος,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Αὐτόλυκόν,morphology_only,wiktionary,Homer,Odyssey,greek
Αὐτόλυκός,morphology_only,wiktionary,Homer,Odyssey,greek
Βοηθοΐδη,no_entry,,Homer,Odyssey,greek
Βοηθοΐδης,no_entry,,Homer,Odyssey,greek
Γίγασιν,no_entry,,Homer,Odyssey,greek
Γερήνιος,morphology_only,,Homer,Odyssey,greek
Γεραιστὸν,no_entry,,Homer,Odyssey,greek
Γιγάντεσσιν,no_entry,,Homer,Odyssey,greek
Γυραίην,no_entry,,Homer,Odyssey,greek
Γυρῇσίν,no_entry,,Homer,Odyssey,greek
Γόρτυνος,no_entry,,Homer,Odyssey,greek
Δαμαστορίδην,no_entry,,Homer,Odyssey,greek
Δαμαστορίδης,no_entry,,Homer,Odyssey,greek
Δευκαλίων,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Δευκαλίωνος,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Δηΐφοβος,morphology_only,,Homer,Odyssey,greek
Δηιφόβοιο,no_entry,,Homer,Odyssey,greek
Δημοδόκου,morphology_only,,Homer,Odyssey,greek
Δημοδόκῳ,morphology_only,,Homer,Odyssey,greek
Δημοπτόλεμον,no_entry,,Homer,Odyssey,greek
Δημοπτόλεμός,no_entry,,Homer,Odyssey,greek
Δημόδοκʼ,morphology_only,,Homer,Odyssey,greek
Δημόδοκον,morphology_only,,Homer,Odyssey,greek
Δημόδοκος,morphology_only,,Homer,Odyssey,greek
Διοκλῆος,no_entry,,Homer,Odyssey,greek
Δμήτορι,no_entry,,Homer,Odyssey,greek
Δολίοιο,no_entry,,Homer,Odyssey,greek
Δουλίχιον,no_entry,,Homer,Odyssey,greek
Δουλίχιόν,no_entry,,Homer,Odyssey,greek
Δουλίχιόνδʼ,no_entry,,Homer,Odyssey,greek
Δουλιχίοιο,no_entry,,Homer,Odyssey,greek
Δουλιχίου,no_entry,,Homer,Odyssey,greek
Δουλιχίῳ,no_entry,,Homer,Odyssey,greek
Δουλιχιεύς,no_entry,,Homer,Odyssey,greek
Δουλιχιῆα,no_entry,,Homer,Odyssey,greek
Δουλιχιῆος,no_entry,,Homer,Odyssey,greek
Δύμαντος,no_entry,,Homer,Odyssey,greek
Εἰδοθέη,no_entry,,Homer,Odyssey,greek
Εὐάνθεος,no_entry,,Homer,Odyssey,greek
Εὐηνορίδην,no_entry,,Homer,Odyssey,greek
Εὐηνορίδης,no_entry,,Homer,Odyssey,greek
Εὐπείθεα,morphology_only,wiktionary,Homer,Odyssey,greek
Εὐπείθει,morphology_only,wiktionary,Homer,Odyssey,greek
Εὐπείθεος,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Εὐπείθης,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Εὐρυάδην,no_entry,,Homer,Odyssey,greek
Εὐρυβάτης,no_entry,,Homer,Odyssey,greek
Εὐρυδάμαντα,no_entry,,Homer,Odyssey,greek
Εὐρυδάμαντι,no_entry,,Homer,Odyssey,greek
Εὐρυδίκη,no_entry,,Homer,Odyssey,greek
Εὐρυλόχοιο,no_entry,,Homer,Odyssey,greek
Εὐρυμάχου,morphology_only,wiktionary,Homer,Odyssey,greek
Εὐρυμάχῳ,morphology_only,wiktionary,Homer,Odyssey,greek
Εὐρυμέδοντος,no_entry,,Homer,Odyssey,greek
Εὐρυμέδουσα,no_entry,,Homer,Odyssey,greek
Εὐρυμίδης,no_entry,,Homer,Odyssey,greek
Εὐρυνόμη,morphology_only,,Homer,Odyssey,greek
Εὐρυνόμην,morphology_only,,Homer,Odyssey,greek
Εὐρυτίδην,no_entry,,Homer,Odyssey,greek
Εὐρυτίδης,no_entry,,Homer,Odyssey,greek
Εὐρυτίωνα,no_entry,,Homer,Odyssey,greek
Εὐρύκλειʼ,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Εὐρύκλεια,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Εὐρύκλειαν,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Εὐρύλοχʼ,no_entry,,Homer,Odyssey,greek
Εὐρύλοχος,morphology_only,,Homer,Odyssey,greek
Εὐρύλοχός,morphology_only,,Homer,Odyssey,greek
Εὐρύμαχʼ,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Εὐρύμαχον,morphology_only,wiktionary,Homer,Odyssey,greek
Εὐρύμαχος,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Εὐρύνομος,no_entry,,Homer,Odyssey,greek
Εὐρύνομός,no_entry,,Homer,Odyssey,greek
Εὐρύπυλον,morphology_only,,Homer,Odyssey,greek
Εὐρύτῳ,morphology_only,,Homer,Odyssey,greek
Εὔμαιʼ,morphology_only,wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Εὔμαιε,morphology_only,wiktionary; wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Εὔμαιον,morphology_only,wiktionary; wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Εὔμαιος,morphology_only,wiktionary; wiktionary; wiktionary,Homer,Odyssey,greek
Εὔμηλος,morphology_only,,Homer,Odyssey,greek
Εὔρυτος,morphology_only,,Homer,Odyssey,greek
Ζάκυνθος,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Ζήθοιο,no_entry,,Homer,Odyssey,greek
Ζακύνθου,morphology_only,wiktionary; wiktionary,Homer,Odyssey,greek
Ζακύνθῳ,morphology_only,wiktionary,Homer,Odyssey,greek
Ζῆθόν,morphology_only,,Homer,Odyssey,greek
Θεοκλύμενον,morphology_only,,Homer,Odyssey,greek
Θεοκλύμενος,morphology_only,,Homer,Odyssey,greek
Θεσπρωτούς,no_entry,,Homer,Odyssey,greek
Θρασυμήδεϊ,no_entry,,Homer,Odyssey,greek
Θυέστης,no_entry,,Homer,Odyssey,greek
Θυεστιάδης,no_entry,,Homer,Odyssey,greek
Θόων,no_entry,,Homer,Odyssey,greek
Θῶνος,no_entry,,Homer,Odyssey,greek
Κήτειοι,no_entry,,Homer,Odyssey,greek
