language,base_prefix,assimilated_form,meaning,phonological_rule,priority,examples
greek,κατα,κατα,down; against,none,1,καταβαίνω
greek,κατα,κατ,down; against,vowel_elision,2,κατορθόω
greek,κατα,καθ,down; against,consonant_assimilation,3,καθαιρέω (before aspirate)
greek,κατα,κατορ,down; against,vowel_contraction,4,κατορθόω (kata + orthóō)
greek,κατα,καταρ,down; against,vowel_contraction,5,καταράομαι
greek,μετα,μετα,with; after,none,1,μεταβαίνω
greek,μετα,μετ,with; after,vowel_elision,2,μετέρχομαι
greek,μετα,μεθ,with; after,consonant_assimilation,3,μεθίστημι (before aspirate)
greek,παρα,παρα,beside; from,none,1,παραβάλλω
greek,παρα,παρ,beside; from,vowel_elision,2,παρέρχομαι
greek,περι,περι,around; about,none,1,περιβάλλω
greek,περι,περ,around; about,vowel_elision,2,περίειμι
greek,προσ,προσ,toward; at,none,1,προσάγω
greek,προσ,προ,toward; at,sigma_drop,2,προσκυνέω variant
greek,υπερ,υπερ,over; above,none,1,υπερβάλλω
greek,υπερ,υπ,over; above,vowel_elision,2,υπέρχομαι
greek,αντι,αντι,against,none,1,ἀντιλέγω
greek,αντι,αντ,against,vowel_elision,2,ἀντέχω
greek,αντι,ανθ,against,consonant_assimilation,3,ἀνθίστημι (before aspirate)
greek,αυτο,αυτο,self; own,none,1,αὐτόματος
greek,αυτο,αυτ,self; own,vowel_elision,2,αὐτάρκης
greek,πολυ,πολυ,many; much,none,1,πολύχρονος
greek,πολυ,πολ,many; much,vowel_elision,2,πολλάκις
greek,απο,απο,away from,none,1,ἀποβάλλω
greek,απο,απ,away from,vowel_elision,2,ἀπέρχομαι
greek,απο,αφ,away from,consonant_assimilation,3,ἀφίστημι (before aspirate)
greek,δια,δια,through,none,1,διαβαίνω
greek,δια,δι,through,vowel_elision,2,διοικέω
greek,επι,επι,upon; at,none,1,ἐπιβάλλω
greek,επι,επ,upon; at,vowel_elision,2,ἐπέρχομαι
greek,επι,εφ,upon; at,consonant_assimilation,3,ἐφίστημι (before aspirate)
greek,εισ,εισ,into,none,1,εἰσβάλλω
greek,εισ,εις,into,sigma_variant,2,εἰσφέρω
greek,συν,συν,with; together,none,1,συμβαίνω base
greek,συν,συμ,with; together,nasal_assimilation,2,συμβαίνω (before β/π/φ/μ)
greek,συν,συλ,with; together,nasal_assimilation,3,συλλαμβάνω (before λ)
greek,συν,συγ,with; together,nasal_assimilation,4,συγγίγνομαι (before γ/κ/χ)
greek,συν,συ,with; together,nasal_deletion,5,συστέλλω (before σ/ζ)
greek,συν,συσ,with; together,nasal_assimilation,6,σύστασις (before σ variant)
greek,συν,συρ,with; together,nasal_assimilation,7,σύρρυτος (before ρ)
greek,υπο,υπο,under,none,1,ὑποβάλλω
greek,υπο,υπ,under,vowel_elision,2,ὑπέρχομαι
greek,υπο,υφ,under,consonant_assimilation,3,ὑφίστημι (before aspirate)
greek,ανα,ανα,up; again,none,1,ἀναβαίνω
greek,ανα,αν,up; again,vowel_elision,2,ἀνέρχομαι
greek,προ,προ,before,none,1,προβάλλω
greek,προ,πρου,before,vowel_addition,2,προὔχω (before aspirate+vowel)
greek,δυσ,δυσ,bad; difficult,none,1,δυσβάτος
greek,δυσ,δυ,bad; difficult,sigma_drop,2,δύσκολος variant
greek,εκ,εκ,out of,none,1,ἐκβάλλω
greek,εκ,εξ,out of,kappa_variant,2,ἐξέρχομαι (before vowel)
greek,εξ,εξ,out of,none,1,ἐξέρχομαι
greek,εξ,εκ,out of,xi_variant,2,ἐκβάλλω (before consonant)
greek,εν,εν,in; on,none,1,ἐνβάλλω
greek,εν,εμ,in; on,nasal_assimilation,2,ἐμπίτνω (before β/π/φ/μ)
greek,εν,εγ,in; on,nasal_assimilation,3,ἐγχειρίζω (before γ/κ/χ)
greek,εν,ελ,in; on,nasal_assimilation,4,ἐλλείπω (before λ)
greek,εν,ερ,in; on,nasal_assimilation,5,ἐρρέω (before ρ)
greek,ευ,ευ,good; well,none,1,εὐγενής
greek,ευ,ευρ,good; well,vowel_variant,2,εὐρύς variant
greek,αν,αν,not; without,none,1,ἄνομος
greek,αν,α,not; without,nasal_deletion,2,ἄγραφος (before consonant)
greek,α,α,not; without,none,1,ἄτιμος
