Author,Work
"Achilles Tatius","Leucippe and Clitophon"
"Acta Barnabae","Acta Barnabae"
"Acta Joannis","Acta Joannis"
"Acta Joannis","Acta Joannis (recensio)"
"Acta Philippi","Acta Philippi"
"Acta Thomae","Acta Thomae"
"Adamantius Judaeus",Physiognomonica
"Adamantius Judaeus","Physiognomonica (epitome Matritensis)"
"Adrianus of Tyre",Declamatio
Aelian,"De Natura Animalium"
Aelian,Fragmenta
Aelian,"Varia Historia"
"Aelius Herodianus","De Figuris"
"Aelius Herodianus","De enclisi"
"Aelius Herodianus","De prosodia catholica"
"Aelius Herodianus","Εἰς τὴν Ἀπολλωνίου εἰσαγωγήν"
"Aelius Herodianus","Εἰς τὸ περὶ γενῶν Ἀπολλωνίου ὑπόμνημα"
"Aelius Herodianus","Μονόβιβλον περὶ τοῦ μὴ πάντα τὰ ῥήματα κλίνεσθαι εἰς πάντας τοὺς χρόνους"
"Aelius Herodianus","Μονόβιβλον περὶ τοῦ ἦν"
"Aelius Herodianus","Μονόβιβλον περὶ τοῦ ὕδωρ"
"Aelius Herodianus","Περὶ γάμου καὶ συμβιώσεως"
"Aelius Herodianus","Περὶ διχρόνων"
"Aelius Herodianus","Περὶ κλίσεως ὀνομάτων"
"Aelius Herodianus","Περὶ μετοχῶν"
"Aelius Herodianus","Περὶ μονήρους λέξεως"
"Aelius Herodianus","Περὶ μονοσυλλάβων"
"Aelius Herodianus","Περὶ παθῶν"
"Aelius Herodianus","Περὶ παρωνύμων"
"Aelius Herodianus","Περὶ πνευμάτων"
"Aelius Herodianus","Περὶ συζυγιῶν"
"Aelius Herodianus","Περὶ συντάξεως τῶν στοιχείων"
"Aelius Herodianus","Περὶ σχημάτων"
"Aelius Herodianus","Περὶ τοῦ ζώς"
"Aelius Herodianus","Περὶ τῶν εἰς μι"
"Aelius Herodianus","Περὶ ἀντωνυμιῶν"
"Aelius Herodianus","Περὶ Ἀττικῆς προσῳδίας"
"Aelius Herodianus","Περὶ ἐπιρρημάτων"
"Aelius Herodianus","Περὶ Ἰλιακῆς προσῳδίας"
"Aelius Herodianus","Περὶ ὀνομάτων"
"Aelius Herodianus","Περὶ ὀρθογραφίας"
"Aelius Herodianus","Περὶ Ὀδυσσειακῆς προσῳδίας"
"Aelius Herodianus","Περὶ ῥημάτων"
"Aelius Herodianus","Περὶ ῥηματικῶν ὀνομάτων"
"Aelius Herodianus","Προτάσεις"
"Aelius Herodianus","Συμπόσιον"
"Aelius Herodianus","Ἐκ τῶν Ἡρωδιανοῦ ὑπομνημάτων τῶν περὶ παθῶν Διδύμου"
"Aelius Theon","Προγυμνάσματα"
"Aeneas Tacticus",Poliorcetica
Aeschines,"Against Ctesiphon"
Aeschines,"Against Timarchus"
Aeschines,Epistolae
Aeschines,"On the Embassy"
Aeschylus,Agamemnon
Aeschylus,Eumenides
Aeschylus,"Libation Bearers"
Aeschylus,Persians
Aeschylus,"Prometheus Bound"
Aeschylus,"Seven Against Thebes"
Aeschylus,Supplices
Aesop,Fabulae
Agatharchides,"De Rubro Mari"
Agathemerus,"Geographiae informatio"
"Agathias Scholasticus",Epigrammata
"Agathias Scholasticus",Historiae
Agathodaemon,"Fragmentum alchemicum"
Agathodaemon,"Ἀγαθοδαίμων εἰς τὸν χρησμὸν Ὀρφέως συναγωγὴ καὶ ὑπόμνημα"
"Aglaias, Byzantius","Adversus suffusiones incipientes"
Albinus,"Handbook of Platonism"
Albinus,"Introductio in Platonem"
Alcidamas,Odysseus
Alciphron,Epistulae
"Alexander Numenius","De Figuris"
"Alexander of Aphrodisias","De anima"
"Alexander of Aphrodisias","De anima libri mantissa"
"Alexander of Aphrodisias","De fato"
"Alexander of Aphrodisias","De febribus [Sp.]"
"Alexander of Aphrodisias","De mixtione"
"Alexander of Aphrodisias","In Aristotelis Analyticorum Priorum Librum I Commentarium"
"Alexander of Aphrodisias","In Aristotelis Metaphysica Commentaria"
"Alexander of Aphrodisias","In Aristotelis Meteorologicorum Libros Commentaria"
"Alexander of Aphrodisias","In Aristotelis Sophisticos Elenchos Commentarius [Sp.]"
"Alexander of Aphrodisias","In Aristotelis Topicorum Libros Octo Commentaria"
"Alexander of Aphrodisias","In Librum De Sensu Commentarium"
"Alexander of Aphrodisias",Quaestiones
"Alexander of Aphrodisias",tlg013
Alypius,"Isagoge musica"
Ammonius,"In Aristotelis Analyticorum Priorum Librum I Commentarium"
Ammonius,"In Aristotelis Categorias Commentarius"
Ammonius,"In Aristotelis Librum De Interpretatione Commentarius"
Ammonius,"In Aristotelis analytica priora [Sp.]"
Ammonius,"In Porphyrii Isagogen Sive Quinque Voces"
"Ammonius Grammaticus","περὶ ὁμοίων καὶ διαφόρων λέξεων"
Anacharsis,Epistulae
Andocides,"Against Alcibiades"
Andocides,"On His Return"
Andocides,"On the Mysteries"
Andocides,"On the Peace with Sparta"
"Anna Comnena",Alexias
"Anonymi Exegesis in Hesiodi Theogoniam","Exegesis in Hesiodi theogoniam"
"Anonymi Geographiae Expositio Compendiaria","Geographiae expositio compendiaria"
"Anonymi In Aristotelis Categorias","Paraphrasis Categoriarum"
"Anonymi In Aristotelis Ethica Nicomachea","In Ethica Nicomachea Paraphrasis (Pseudepigraphum Olim A Constantino Palaeocappa confectum et olim sub auctore Heliodoro
    Prusensi vel Andronico Rhodio vel Olympiodoro)"
"Anonymi In Aristotelis Librum Alterum Analyticorum Posteriorum","Anonymi In Analyticorum Posteriorum Librum Alterum Commentarium"
"Anonymi In Aristotelis Sophisticos Elenchos","In Aristotelis Sophisticos Elenchos Paraphrasis"
"Anonymi Paradoxographi","De Incredibilibus (excerpta Vaticana)"
"Anonymi de Barbarismo et Soloecismo","De barbarismo et soloecismo"
"Anonymi de Terrae Motibus","Anonymi Dissertatio De Terrae Motibus"
"Anonymi in Aristotelis Artem Rhetoricam","Fragmentum commentarii in Aristotelis rhetorica"
"Anonymi in Aristotelis Artem Rhetoricam","Fragmentum paraphrasis in Aristotelis rhetorica"
"Anonymi in Aristotelis Artem Rhetoricam","In Aristotelis artem rhetoricam commentarium"
"Anonymi summaria ratio geographiae in sphaera intelligendae","Anonymi summaria ratio geographiae in sphaera intelligendae"
Anonymous,"Didache XII Apostolorum"
"Anonymous Iamblichi",Fragmenta
"Anonymus Ad Avircium Marcellum contra Cataphrygas","Ad Avircium Marcellum contra Cataphrygas"
"Anonymus Londinensis","Anonymus Londinensis Fragmenta"
"Anonymus Londinensis",Iatrica
"Antigoni Epistula",Epistula
"Antiochus Epistolographus",Epistulae
"Antipater Tarsensis","Testimonia et Fragmenta"
Antiphon,"On the Choreutes"
