gif_name,greek_unicode
accismus.gif,ἀκκισμός
acyrologia.gif,ἀκυρολογία
acyron.gif,ἄκυρον
adianoeta.gif,ἀδιανοετά
adynaton.gif,ἀδύνατον
aganactesis.gif,ἀγανάκτησις
allegoria.gif,ἀλληγορία
alleotheta.gif,ἀλλοθετά
amphibologia.gif,ἀμφιβολογία
anacephalaeosis.gif,ἀνακεφαλαίωσις
anacoenosis.gif,ἀνακοίνωσις
anacoloutha.gif,ἀνακολοῦθα
anadiplosis.gif,ἀναδίπλωσις
anamnesis.gif,ἀνάμνησις
anangeon.gif,ἀναγκαῖον
anaphora.gif,ἀναφορά
anapodosis.gif,ἀναπόδοσις
anastrophe.gif,ἀναστροφή
anesis.gif,ἄνεσις
antanaclasis.gif,ἀντανάκλασις
antanagoge.gif,ἀνταναγωγή
anthropopatheia.gif,ἀνθρωποπάθεια
anthypophora.gif,ἀνθυποφορά
anticategoria.gif,ἀντικατηγορία
antilogy.gif,ἀντιλογία
antimetabole.gif,ἀντιμεταβολή
antimetathesis.gif,ἀντιμετάθεσις
antiphrasis.gif,ἀντίφρασις
antiptosis.gif,ἀντίπτωσις
antirrhesis.gif,ἀντιῤῥῆσις
antisagoge.gif,ἀντεισαγωγή
antistasis.gif,ἀντίστασις
antisthecon.gif,ἀντιστοιχεῖον
antistrophe.gif,ἀντιστροφή
antithesis.gif,ἀντίθεσις
antitheton.gif,ἀντίθετον
antonomasia.gif,ἀντονομασία
apagoresis.gif,ἀπαγόρησις
aphaeresis.gif,ἀφαίρεσις
aphorism.gif,ἀφορισμός
apocarteresis.gif,ἀποκαρτέρησις
apocope.gif,ἀποκοπή
apodioxis.gif,ἀποδίωξις
apodixis.gif,ἀπόδειξις
apologue.gif,ἀπόλογος
apophasis.gif,ἀπόφασις
apoplanesis.gif,ἀποπλάνεσις
aporia.gif,ἀπορία
aposiopesis.gif,ἀποσιώπησις
apostrophe.gif,ἀποστροφή
apothegm.gif,ἀπόφθεγμα
ara.gif,ἀρά
aschematiston.gif,ἀσχημάτιστον
asphalia.gif,ἀσφάλεια
asteismus.gif,ἀστεισμός
asyndeton.gif,ἀσύνδετον
auxesis.gif,αὔξησις
barbarismus.gif,βαρβαρισμός
battologia.gif,βαττολογία
bdelygmia.gif,βδελυγμία
brachylogia.gif,βραχυλογία
cacemphaton.gif,κακέμφατον
cacosyntheton.gif,κακοσύνθετον
cacozelia.gif,κακοζηλία
catachresis.gif,κατάχρησις
cataphasis.gif,κατάφασις
cataplexis.gif,κατάπληξις
characterismus.gif,χαρακτηρισμός
charientismus.gif,χαριεντισμός
chiasmus.gif,χιασμός
chorographia.gif,χωρογραφία
chreia.gif,χρεία
chronographia.gif,χρονογραφία
climax.gif,κλῖμαξ
coenotes.gif,κοινότης
colon.gif,κῶλον
deesis.gif,δέησις
dendrographia.gif,δενδρογραφία
diacope.gif,διακοπή
diaeresis.gif,διαίρεσις
dialectica.gif,διαλεκτική
dialysis.gif,διάλυσις
dianoea.gif,διάνοια
diaphora.gif,διαφορά
diaskeue.gif,διασκευή
diastole.gif,διαστολή
diasyrmus.gif,διασυρμός
diazeugma.gif,διαζευγμένον
dicaeologia.gif,δικαιολογία
ecphonesis.gif,ἐκφώνησις
ecphrasis.gif,ἔκφρασις
ecthlipsis.gif,ἔκθλιψις
elenchus.gif,ἔλεγχος
ellipsis.gif,ἔλλειψις
emphasis.gif,ἔμφασις
enallage.gif,ἐναλλαγή
enantiosis.gif,ἐναντίωσις
enargia.gif,ἐναργής
encomium.gif,ἐγκώμιον
energia.gif,ἐνέργεια
enigma.gif,αἴνιγμα
ennoia.gif,ἔννοια
